,Name,Rating,Style,Blend,Vintage,Appellation,ABV,Price,Reviewed By,Reviewed,Perfect For,Drink If You Like,Review,image,link,Variety,Review Updated
10,Bisol Desiderio Jeio Prosecco Brut NV,90,White,,NV,ProseccoVeneto Italy,12%,$11.50,Keith Beavers,2021-02-23,"Impressing On A Budget,Pleasing A Crowd,Popping Bottles","Chardonnay, Glera , Pinot Gris / Grigio","Juicy, quenching, and round with soft, sexy bubbles. The fruit is all apples and pears. The palate is comfy and broad like the soft jest of a jacuzzi.",https://vinepair.com/wp-content/uploads/2021/02/jeio_review_card.jpg,https://vinepair.com/review/bisol-desiderio-jeio-prosecco-brut/,Glera,
11,Krug Brut Rosé 25th Edition NV,97,Sparkling Rosé,"Pinot Noir, Chardonnay, Pinot Meunier",NV,ChampagneFrance,12.5%,$349.00,Keith Beavers,2022-06-02,"Holiday Meals,Special Occasion Splurges,Treat Yo'self","Chardonnay, Chenin Blanc , Pinot Noir","If most Champagnes are the appetizer, this wine is the main course. A deep and soulful bubbly that invites one to ponder if they wish — or simply say it's damn delicious and sit back to enjoy — the wine has a beautiful balance of acidity and fruit with notes of strawberries, raspberries, and orange peel. There is the classic Krug depth that comes from long aging on the lees, which results in a wine that would stand up to any dish on the menu. It is truly a pleasure to drink.",https://vinepair.com/wp-content/uploads/2022/06/buy-this-booze-sparkling-rose-2022-card-krug.jpg,https://vinepair.com/review/krug-brut-rose-25th-edition/,,
12,Billecart-Salmon 'Cuvee Elisabeth Salmon' Brut Rose Millesime 2008,95,Sparkling White,"Chardonnay, Pinot Meunier, Pinot Noir",2008,ChampagneFrance,13%,$238.00,Keith Beavers,,"Special Occasion Splurges,Treat Yo'self,Winning Over the Boss","Chardonnay, Pinot Meunier , Pinot Noir","Creamy with good texture, this is a good splurgy Champers. The bubbles (perlage) are nice and calm, allowing you to enjoy the decadence of brioche vibes and fresh strawberries.",https://vinepair.com/wp-content/uploads/2021/12/btbchampagne_card_billecart.jpg,https://vinepair.com/review/billecart-salmon-cuvee-elisabeth-salmon-brut-rose-millesime/,,2021-12-22
13,Chateau Ste. Michelle Columbia Valley Rosé 2021,90,Rosé,"Syrah / Shiraz, Cabernet Sauvignon, Grenache",2021,Columbia ValleyWashington USA,12.5%,$15.00,Keith Beavers,2022-05-17,"End of Day Sipping,Impressing On A Budget,Rosé All Day","Albariño, Chardonnay , Pinot Gris / Grigio","This rosé has a bunch of Cabernet Sauvignon, a bunch of Syrah, and a dose of Grenache. That means you're going to get a nice amount of pepper with a little menthol on the nose. This is soon followed by some perceptions of peaches and a hint of brambly strawberries. The fruit is on the leaner side but has enough oomf to carry the subtle peppery notes. This is a no brainer on a wine shelf, grab and go.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-top-roses-2022-card-chateau-ste-michelle.jpg,https://vinepair.com/review/chateau-ste-michelle-columbia-valley-rose/,,
14,Louis Roederer Cristal Millésimé Brut 2012,97,Sparkling White,"Pinot Noir, Chardonnay",2012,ChampagneFrance,12%,$273.00,Tim McKirdy,2020-12-10,"Popping Bottles,Special Occasion Splurges,Treat Yo'self",,"Cristal is synonymous with extravagance, having first been created for a Russian Tsar in 1876 who requested the House’s best cuvée every year. The infamous gold label and foil showcase the producer's bravado, yet the wine inside is pure grace. The Brut 2012 delivers fresh and crisp fruit character, elevated and amplified. The acidity is laser-focused, driving the wine from first sip to finish, while weaving seamlessly into its fine and velvety texture.",https://vinepair.com/wp-content/uploads/2020/12/louisroederer_card.jpg,https://vinepair.com/review/louis-roederer-cristal-millesime-brut/,,
15,Loveblock Sauvignon Blanc 2020,89,White,,2020,MarlboroughNew Zealand,13.5%,$22.00,Keith Beavers,2022-07-19,"Backyard BBQs,Feeling Natural,Pleasing A Crowd","Assyrtiko, Sauvignon Blanc , Verdejo","Kim Crawford is onto new things. With the success of his Savvy B, he has turned to organics. This is his and his wife Erica’s passion project. They are even building substructures of soil from the ground up to guarantee sustainable agriculture. The Loveblock wines just hit different, especially in a region of uniform characteristics. The bell pepper vibes are subtle and acidity is very alive. That active acidity balances what would otherwise be a dense fruit core. There is an earthiness to this wine, even though it’s a white wine.",https://vinepair.com/wp-content/uploads/2022/07/sauvignon-blanc-card-Loveblock-Sauvignon-Blanc.jpg,https://vinepair.com/review/loveblock-sauvignon-blanc-2/,Sauvignon Blanc,
16,Bojo do Luar Doralice 2021,92,White,,2021,MinhoPortugal,11%,$25.00,Keith Beavers,2022-07-11,"Drinking Outside the Lines,Sounding Like A Wine Pro,Wine And Cheese Night","Albariño, Chenin Blanc , Pinot Gris / Grigio","Orange (skin-contact wine) has really gained in popularity. Which is amazing. Old wine regions like the Minho in northern Portugal probably have a long history with this style along with their wines from the famous nested Vinho Verde region. But this is a region of high acid whites which are wonderful for the amber hue. Bojo do Luar uses the native Loureiro for their skin contact wine and does something we have never heard of before. They put chestnut flowers in the fermentation tank. This imparts depth and concentrated roundness to the wine. The nose is a bit spicy with some agave, honeysuckle, and a hint of lilies. The palate is the definition of refreshment for this style of wine with high acidity and a soft saline vibe balancing the aromas. Great wine.",https://vinepair.com/wp-content/uploads/2022/07/buy-this-booze-orange-wines-card-doralice.jpg,https://vinepair.com/review/bojo-do-luar-doralice/,Loureiro,
17,Sokol Blosser Blossom Ridge Sparkling Rosé 2017,92,Sparkling Rosé,,2017,Dundee HillsWillamette Valley Oregon USA,11.5%,$64.00,Keith Beavers,2022-06-02,"Dinner Parties,End of Day Sipping,Impressing On A Budget","Chardonnay, Chenin Blanc , Pinot Noir","Susan Sokol and Bill Blosser were Oregon wine pioneers. They arrived in 1971, when the Dundee Hills were still being tested. Today, it’s still family-owned with the kids taking up the mantle of making great wine in what is now a very crowded region. They have a wide range of terroir-driven still wines, but their sparkling rosé cannot be missed. It has oomf and depth for an American Sparkler, with an additional brioche or pastry dough vibe that comes from lees aging. The palate is fun. The very active bubbles accentuate the juicy, tart fruit, leaving a nice, even, and dry finish. You may want to buy a few of these.",https://vinepair.com/wp-content/uploads/2022/06/buy-this-booze-sparkling-rose-2022-card-sokol.jpg,https://vinepair.com/review/sokol-blosser-blossom-ridge-sparkling-rose/,Pinot Noir,
18,Louis Roederer Brut Premier NV,95,White,"Chardonnay, Pinot Meunier, Pinot Noir",NV,ChampagneFrance,12%,$51.00,Tim McKirdy,2020-12-09,"Host/Hostess Gifting,Party Wine,Popping Bottles","Chardonnay, Sparkling Wine","After the First World War destroyed more than half of the Louis Roederer estate, vineyards were reconstructed. To ensure continuity, a multi-vintage wine was created. That wine is called Brut Premier. This wine bursts with everything a ""classic"" Champagne provides. Fresh fruit pierces the palate on entry, with yeasty, bready notes throughout and a lean and zesty finish character on the finish. Not just for special occasions, this Champagne is a must-buy.",https://vinepair.com/wp-content/uploads/2020/12/btb_champagne_card_louisroedererbrutpremier.jpg,https://vinepair.com/review/louis-roederer-brut-premier/,,
19,Captûre Pine Mountain Cabernet Sauvignon 2017,92,Red,,2017,Pine Mountain-Cloverdale,14.5%,$91.00,Keith Beavers,,"Dinner With The Parents,Steak Dinner,Winning Over the Boss","Cabernet Franc, Cabernet Sauvignon , Merlot","An elegant Cali Cab with great natural acidity lifting up the core of fruit as it’s framed by a prominent tannin structure. This wine can still age another five or more years, but right now, it’s singing with balance.",https://vinepair.com/wp-content/uploads/2021/10/btbcab_card_capture.jpg,https://vinepair.com/review/capture-revelation-cabernet-sauvignon/,Cabernet Sauvignon,2021-10-19
20,Schramsberg Vineyards Mirabelle Brut Rosé NV,93,Sparkling Rosé,"Pinot Noir, Chardonnay",NV,Napa CountyNorth Coast California USA,12.8%,$32.00,Keith Beavers,2022-06-02,"Date Night,Dinner Parties,Holiday Meals","Chardonnay, Chenin Blanc , Pinot Noir","Schramsberg is one of the most storied sparkling winemakers in California. Since 1972, starting with the Nixon administration, foreign dignitaries visiting the White House would enjoy wines from this winemaker and have ever since. Today, Schramsberg continues to define the standard in American Sparklers. This rosé is one of their many examples with a nose of strawberry coulis, a dusting of confectioners sugar, and a slight grassy whisper. The palate has round fruit and tight bubbles, making for a very smooth mouthfeel. It’s American, and it’s awesome.",https://vinepair.com/wp-content/uploads/2022/06/buy-this-booze-sparkling-rose-2022-card-mirabelle.jpg,https://vinepair.com/review/schramsberg-vineyards-mirabelle-brut-rose/,,
21,Pegasus Bay Pinot Noir 2019,93,Red,,2019,Waipara Valley,13%,$50.00,Keith Beavers,2022-03-02,"Dinner Parties,Drinking Outside the Lines,Wine And Cheese Night",,Don't let the screw cap fool you — New Zealand wine is almost all under the cap — this wine has one hell of a personality. Not your average Pinot Noir this wine is deep and heady almost taking you aback upon the first nose lunge in the glass. It has very intense aromatics of tart berries that lurk beneath a bright and lively palate. The natural acidity races through the wine cleaving the intensity and keeping the palate somewhat lean. This bottle has something to say.,https://vinepair.com/wp-content/uploads/2022/02/btbpinotnoir_card_pegasus.jpg,https://vinepair.com/review/pegasus-bay-pinot-noir/,Pinot Noir,
22,Perrier-Jouet Blanc de Blancs Brut NV,93,Sparkling White,,NV,ChampagneFrance,12.5%,$85.00,Keith Beavers,2021-12-21,"Dinner Parties,Holiday Meals,Special Occasion Splurges,Wine And Cheese Night","Chardonnay, Pinot Meunier , Pinot Noir","Sharp, juicy, and ripe: That's this wine in three words. It has angles for edges with a grippy palate for fruit, along with very present perlage (bubbles). In that sharpness is the round juiciness of Chardonnay that comes through nice and ripe.",https://vinepair.com/wp-content/uploads/2021/12/btbchampagne_card_perrierjouet.jpg,https://vinepair.com/review/perrier-jouet-blanc-de-blancs-brut/,Chardonnay,
23,Dutton- Goldfield Chileno Valley Vineyard Riesling 2018,92,White,,2018,Petaluma GapSonoma County North Coast California USA,13.8%,$30.00,Keith Beavers,,"Drinking Outside the Lines,Spicy Pairings,Taco Tuesday","Albariño, Friulano , Riesling","This wine smells like pears and honey with a waxy vibe, along with a whiff of toasted almonds. The palate is focused and grippy and delicious. The acidity is calm, giving the wine a little depth and making me wish I had a lobster roll or spicy tacos right now.",https://vinepair.com/wp-content/uploads/2021/01/winereview_card_duttongoldfieldriesling.jpg,https://vinepair.com/review/dutton-goldfield-chileno-valley-vineyard-riesling/,Riesling,2021-01-12
24,G&C Lurton L'Orange Wine 2021,91,White,,2021,Sonoma CountyNorth Coast California USA,14%,$35.00,Keith Beavers,2022-07-11,"Drinking Outside the Lines,Sounding Like A Wine Pro,Wine And Cheese Night","Albariño, Chenin Blanc , Pinot Gris / Grigio","A Bordeaux family comes to California, lands in Sonoma County, creates life, and begins a winery. The American dream lives in the Lurton family as they saw great potential in Sonoma soils dating back to the 1950s. Today they make a lineup of wines from classic California varieties such as Merlot and Cabernet but they also dabble in some skin-contact orange wine from the Sauvignon Blanc grape. And it is awesome. High acid grapes do well with this style and the Lurtons hit it spot on. A nose of bruised peaches and agave (which seems to be a regular aroma with this style) carries over to the palate where the low-ish alcohol gives a little punch with an added aroma of mint. The result is a refreshing wine that has depth and complexity.",https://vinepair.com/wp-content/uploads/2022/07/buy-this-booze-orange-wines-card-lurton.jpg,https://vinepair.com/review/gc-lurton-lorange-wine/,Sauvignon Blanc,
25,Cade Sauvignon Blanc 2020,90,White,,2020,Napa ValleyNapa County North Coast California USA,14.2%,$38.00,Keith Beavers,,"Dinner Parties,Host/Hostess Gifting,Summer Sipping","Albariño, Chardonnay , Sauvignon Blanc","This is a great American Sauvignon Blanc. It smells like a tropical fruit medley drizzled with honey. The body of the wine has structure with a slight grip. When the acidity hits your palate, it lifts the fruitiness and broadens. This, with something like goat cheese and herb stuffed rotisserie chicken, would be amaze.",https://vinepair.com/wp-content/uploads/2021/08/btbsauvignonblanc_cadesauvignonblanc2020_card.jpg,https://vinepair.com/review/cade-sauvignon-blanc/,Sauvignon Blanc,2021-08-10
26,La Jota Cabernet Sauvignon 2018,92,Red,,2018,Howell Mountain,14.5%,$150.00,Keith Beavers,,"Long-Term Aging,Special Occasion Splurges,Steak Dinner","Cabernet Franc, Cabernet Sauvignon , Merlot","Howell Mountain is one of the most expressive wine regions for Cab in the world. There have been vines in these craggy corners since the 19th century. The vineyards of La Jota are some of those. The current stewards of this property are doing an amazing job continuing the La Jota legacy in this bottle. Drying nose with blackberries and soft hints of oak along with the savory aroma of peppered meat. This wine could use a few years in bottle to collect itself but, decanted, it drinks well now.",https://vinepair.com/wp-content/uploads/2022/06/buy-this-booze-cabernet-sauvignon-card-la-jota.jpg,https://vinepair.com/review/la-jota-cabernet-sauvignon/,Cabernet Sauvignon,2022-06-09
27,Knights Bridge 'KB Estate' Red Blend 2019,88,Red,"Cabernet Sauvignon, Cabernet Franc, Merlot",2019,Knights Valley,14.5%,$50.00,Keith Beavers,2022-04-07,"Dinner Parties,Host/Hostess Gifting,Steak Dinner","Cabernet Sauvignon, Malbec , Merlot",The nose of this wine is a bit muted but shows some cinnamon and...bubblegum? The fruit on the palate is decently ripe with good natural acidity. It's a good red blend if not a little light on its feet.,https://vinepair.com/wp-content/uploads/2022/04/btb-red-blends-card-knights-bridge.jpg,https://vinepair.com/review/knights-bridge-kb-estate-red-blend/,,
28,Sonoma-Cutrer Les Pierres Vineyard Chardonnay 2018,89,Red,,2018,Sonoma ValleySonoma County North Coast California USA,14.2%,$45.00,Keith Beavers,2022-05-13,"Dinner Parties,Treat Yo'self,Winter White Wine Drinking","Albariño, Chardonnay , Chenin Blanc","The Sonoma-Cutrer winery offers a widely available line of Sonoma wines. The winery is known for balanced affordable wines that are solid go-to's. They also know how to bring the focus. Here they are going micro and offering us a single vineyard Chardonnay. It is a unique expression of sweet and savory with aromas of bistro butter (the fancy house-made stuff) and hints of white pepper. The aromas are supported by a good depth of fruit with nice balanced acidity giving the wine a welcome, creamy mouthfeel that makes the citrus notes pop a little more.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-sonoma-cutrer-1.jpg,https://vinepair.com/review/sonoma-cutrer-les-pierres-vineyard-chardonnay/,Chardonnay,
29,Piper Sonoma Brut NV,87,White,"Chardonnay, Pinot Blanc, Pinot Noir",NV,Sonoma CountyNorth Coast California USA,13.5%,$22.00,Keith Beavers,,"Impressing On A Budget,Pleasing A Crowd,Weekday Dinner Pairings","Chardonnay, Glera , Pinot Gris / Grigio","For a cheap bubbly to grab in a pinch, it’s pretty good. The fruit is a bit tart where it should be. Creamy, but has a nice apple-y nose. This bottle, with a weeknight bucket of fried chicken, would be a fun pairing.",https://vinepair.com/wp-content/uploads/2020/11/keithwinereview_americanfood_card_pipersonomabrut.jpg,https://vinepair.com/review/piper-sonoma-brut/,,2020-11-19
30,Wölffer Estate Vineyard Summer in a Bottle Long Island Rosé 2021,92,Rosé,"Merlot, Cabernet Franc, Cabernet Sauvignon, Chardonnay, Gewürztraminer, Pinot Meunier, Riesling, Sauvignon Blanc, Syrah / Shiraz",2021,Long IslandNew York USA,12.8%,$26.00,Keith Beavers,2022-05-17,"Boozy Beach Trips,Rosé All Day,Treat Yo'self","Albariño, Chardonnay , Pinot Gris / Grigio","There are nine varieties in this wine: four red and five white. Their characteristics range from big and bold to subtle and light; from mineral driven to highly aromatic. In anyone else’s hands this would be utter chaos. But in the very capable hands of Wölffer head winemaker Roman Roth, it is precise and definitely summer in a bottle. The nose is fresh with a nice floral and perfumed vibe that is joined by a concentration of fruity that carries to the palate. The mouthfeel is very light and bright with bracing acidity that is tempered by a nice refreshing depth of fruit. Summer has definitely been captured.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-top-roses-2022-card-summer-in-a-bottle.jpg,https://vinepair.com/review/wolffer-estate-vineyard-summer-in-a-bottle-long-island-rose/,,
31,1882 Cabernet Sauvignon 2018,90,Red,,2018,RutherfordNapa Valley Napa County North Coast California USA,14.5%,$58.00,Keith Beavers,,"Dinner With The Parents,Holiday Meals,Steak Dinner","Cabernet Franc, Cabernet Sauvignon , Merlot","In 1975, Francis and Elanor Coppola purchased the famous Inglenook estate when searching for a vacation cottage. Inglenook was one of the first wineries in Napa, located in Rutherford, owned by former sea captain Gustave Niebaum. The Coppola’s have spent decades reuniting the property with the original land and this 1882 is a tribute to Captain Niebaum’s first harvest. This is a great wine because it is approachable in price and quality. It has a meaty nose with a rare steak aroma infused with peppery blackberries and a hint of vanilla. The tannins are soft and woven well into the fruit. It all culminates to a smooth balanced finish.",https://vinepair.com/wp-content/uploads/2022/06/buy-this-booze-cabernet-sauvignon-card-1882.jpg,https://vinepair.com/review/1882-cabernet-sauvignon/,Cabernet Sauvignon,2022-06-09
32,Louis Pommery Carneros Chardonnay 2019,90,White,,2019,Carneros (Napa)Napa Valley Napa County North Coast California USA,14%,$33.00,Keith Beavers,,"Dinner With The Parents,Holiday Meals,Host/Hostess Gifting","Albariño, Chardonnay , Chenin Blanc","Smells herby (wink, nudge) with a waft of pear and fancy bistro butter. The palate is very balanced, with a good grip and rich fruit. This is a nice Cali Chard that will impress the guests.",https://vinepair.com/wp-content/uploads/2021/09/btbchardonnay_louispommery_card.jpg,https://vinepair.com/review/louis-pommery-carneros-chardonnay/,Chardonnay,2021-09-08
33,San Pietro Pinot Grigio 2021,88,White,,2021,VenetoItaly,13%,$15.00,Keith Beavers,2022-07-26,"All-Day Sipping,Boozy Beach Trips,Brunch Sipping","Pinot Gris / Grigio, Sauvignon Blanc , Trebbiano (Ugni Blanc)","When a Pinot Grigio hits, it just hits. It doesn’t matter the price. Wines from this grape lean far into casual refreshment as easily as they do the fine wine category. And when it’s balanced yet fun and casual, it’s like a sunny day in a bottle. This Pinot Grigio is on that casual side of the spectrum. It’s easy to drink, uncomplicated, and crazy refreshing, with a mild concentration of fruit. This is a case-buy in the spirit of spontaneity.",https://vinepair.com/wp-content/uploads/2022/07/btb-best-pinot-grigio-card-San-Pietro-Pinot-Grigio.jpg,https://vinepair.com/review/san-pietro-pinot-grigio/,Pinot Gris / Grigio,
34,Dutton Estate Winery Sweet Sisters Late Harvest Syrah 2017,93,Red Dessert Wine,,2017,Russian River ValleySonoma County North Coast California USA,13%,$25.00,Keith Beavers,2022-02-08,"Cold Weather Hibernation,Drinking Outside the Lines,Wine And Cheese Night","Cabernet Franc, Merlot , Syrah / Shiraz","When you think of the Russian River Valley, often Pinot Noir comes to mind. And Chardonnay as well. You may not think of Syrah — or late harvest Syrah, at that. Neither did we! And we’re so glad we do now! This American dessert wine has all the balance of a red blend. There's a slight peppery note on the nose, with nice texture from the tannins (another pleasant surprise). It’s not cloying and has just the right amount of acidity. Even though it’s a sweet wine, the character of Syrah comes through. If you drink port you'll love this.",https://vinepair.com/wp-content/uploads/2022/02/buy-this-booze-sweet-wine_card_dutton.jpg,https://vinepair.com/review/dutton-estate-winery-sweet-sisters-late-harvest-syrah/,Syrah / Shiraz,
35,Abacela Winery Grenache Rosé 2021,90,Rosé,,2021,Umpqua Valley,13.1%,$20.00,Keith Beavers,2022-05-17,"Dinner Parties,Host/Hostess Gifting,Rosé All Day","Albariño, Chardonnay , Pinot Gris / Grigio","South of the Willamette Valley in Oregon the wine doesn’t stop. Pinot Noir might. But how about Malbec or Italian grapes like Dolcetto? Or even Grenache? Well, that is the way of things for this winery and they are showing off some of the best examples of this unique list of varieties with their Grenache rosé. It’s nice and light with a quiet hint of grapefruit. The palate is tart with some citrus coming through on the finish. It’s a wonderful, balanced wine on the lighter side of the grapes red counterpart.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-top-roses-2022-card-abacela.jpg,https://vinepair.com/review/abacela-winery-grenache-rose/,Grenache,
36,Wachira Black Label Cabernet Sauvignon 2017,90,Red,,2017,CaliforniaUSA,13.5%,$36.00,Keith Beavers,,"Dinner Parties,Pleasing A Crowd,Wine And Cheese Night","Cabernet Franc, Cabernet Sauvignon , Merlot","This Cab really sings. It has such wonderful natural acidity that it won't weigh you down and sets you up for a second sip. It smells like ripe blackberries, a hint of soil, and a whisper of vanilla. The tannins are woven in, putting the berry notes center stage. This is a great wine for all kinds of foods, from a lean steak to a roast chicken and all the cheeses in between.",https://vinepair.com/wp-content/uploads/2021/10/btbcab_card_wachira.jpg,https://vinepair.com/review/wachira-black-label-cabernet-sauvignon/,Cabernet Sauvignon,2021-11-01
37,Sonoma-Cutrer 40th Anniversary Winemaker’s Release Chardonnay 2019,89,White,,2019,Sonoma CountyNorth Coast California USA,13.9%,$70.00,Keith Beavers,,"Dinner With The Parents,Sipping Without Food,Winning Over the Boss","Albariño, Chardonnay , Chenin Blanc","This wine takes the old school vibe of Cali Chard and balances it. Smells fancy French butter and pears with a whiff of vanilla. The palate is soft, with calm, natural acidity and a depth that you're used to without all the intense alcohol and oak.",https://vinepair.com/wp-content/uploads/2021/07/sc40_reviewcard.jpg,https://vinepair.com/review/sonoma-cutrer-40th-anniversary-winemakers-release-chardonnay/,Chardonnay,2021-07-06
