,1,2,3,4,5
sonoma-cutrer les pierres vineyard chardonnay 2018,louis pommery carneros chardonnay 2019,la crema sonoma coast chardonnay 2018,laurent-perrier la cuvee brut nv,la kiuva rosé de vallée nv,domaine matrot meursault les chevalieres 2018
piper sonoma brut nv,piper sonoma blanc de blancs nv,bisol desiderio jeio prosecco brut nv,adriano adami dry vigneto giardino rive di colbertaldo nv,intrinsic red blend 2018,gruet blanc de noirs nv
wölffer estate vineyard summer in a bottle long island rosé 2021,mary taylor 'pascal biotteau' anjou blanc 2020,banshee wines banshee sonoma county rosé 2021,revelation by goose ridge 2021,l' esprit du lac vieilles vignes dry rosé 2021,barnard griffin rosé of sangiovese 2021
1882 cabernet sauvignon 2018,freemark abbey napa valley cabernet sauvignon 2017,wachira black label cabernet sauvignon 2017,kendall-jackson jackson estate hawkeye mountain cabernet sauvignon 2018,arrowood winery knights valley cabernet sauvignon 2018,chateau de valois pomerol 2016
louis pommery carneros chardonnay 2019,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017,giant steps winery chardonnay 2020,the vice 'the tri blend' 2019,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,mail road mt. carmel vineyard chardonnay 2015
san pietro pinot grigio 2021,cantina terlano pinot grigio 2021,"the pinot project, pinot grigio 'delle venezie doc' 2021",riff pinot grigio collio doc 2021,"bieler family, pinot grigio ""daisy"" 2021","vigneti del sole, pinot grigio 'delle venezie doc' 2021"
dutton estate winery sweet sisters late harvest syrah 2017,chateau cantemerle haut-medoc 2016,macari vineyards dos aguas red 2019,inniskillin sparkling vidal icewine 2019,jefferson vineyards cabernet franc 2017,abacela blanco dulce 2020
abacela winery grenache rosé 2021,chateau ste. michelle columbia valley rosé 2021,treleaven reserve chardonnay 2019,soléna willamette valley pinot gris 2021,balletto teresa's unoaked chardonnay 2020,ferraton pere & fils cotes du rhone samorens rosé 2021
wachira black label cabernet sauvignon 2017,arrowood winery knights valley cabernet sauvignon 2018,stonestreet estate vineyards cabernet sauvignon 2017,1882 cabernet sauvignon 2018,robert biale vineyards black chicken zinfandel 2018,chateau marojallia 2018
sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,hyde de villaine hyde vineyard chardonnay 2017,gundlach bundschu estate vineyard chardonnay 2019,neyers vineyards chardonnay 2018,trombetta family wines gap's crown vineyard chardonnay 2018,decoy chardonnay 2019
imagery estate winery chardonnay 2020,"famille dubard sauvignon blanc ""coeur du mont"" 2021",rodney strong chalk hill chardonnay 2019,balletto teresa's unoaked chardonnay 2020,cambria estate winery katherine's vineyard chardonnay 2019,cakebread cellars chardonnay 2019
imagery estate winery aleatico rosé 2021,seghesio family vineyards rosato 2021,barnard griffin rosé of sangiovese 2021,santo wines assyrtiko 2020,"enroute pinot noir russian river valley ""les pommiers"" 2019",bravium anderson valley chardonnay 2019
kb by knights bridge cabernet sauvignon 2018,beaulieu vineyard bv reserve tapestry 2018,freemark abbey napa valley cabernet sauvignon 2017,seven hills winery walla walla valley cabernet sauvignon 2018,my favorite neighbor cabernet sauvignon 2019,chateau marojallia 2018
josh cellars prosecco rosé 2020,jeio (by bisol) prosecco rosé doc 2020,ca' furlan prosecco doc rosé brut cuvée mariana 2020,le contesse pinot noir brut rosé nv,gruet blanc de noirs nv,il colle prosecco di conegliano valdobbiadene superiore brut 2020
vietti tre vigne barbera d'asti docg 2018,vietti 'perbacco' langhe nebbiolo 2018,balletto pinot noir 2018,garesio barbera d'asti superiore nizza docg 2017,nomen malbec 2018,hirsch vineyards san andreas fault pinot noir 2018
balletto sauvignon blanc 2021,alma de cattleya sauvignon blanc 2021,"famille dubard sauvignon blanc ""coeur du mont"" 2021",loveblock sauvignon blanc 2020,sean minor sauvignon blanc 2020,merry edwards russian river valley sauvignon blanc 2020
long meadow ranch chardonnay 2017,long meadow ranch pinot gris 2018,treleaven reserve chardonnay 2019,maggy hawk skycrest vineyard chardonnay 2019,giant steps winery chardonnay 2020,bonterra chardonnay 2020
weingut schlossmuhlenhof 'das ist keine orange' 2019,teliani valley amber blend 2019,weingut familie bauer barig alte reben 2019,see saw ‘samm’ orange wine 2021,field recording skins 2020,weingut hirsch lamm gruner veltliner 2019
chakana estate selection red blend 2017,barnard griffin rob's red blend 2018,orfila red blend reserva 2018,jax vineyards y3 'taureau' 2017,epiphany cellars 'inspiration' red,alexander valley vineyards wetzel family homestead red 2019
intrinsic red blend 2018,intrinsic red blend 2019,beaulieu vineyard bv reserve tapestry 2018,hound’s tree cornus reserve 2015,chateau ste. michelle artists series meritage 2017,the vice 'the tri blend' 2019
mary taylor 'pascal biotteau' anjou blanc 2020,lievland old vines chenin blanc 2019,chalone vineyard chenin blanc 2018,bodegas avancia cuvee de o godello 2019,gruet blanc de noirs nv,cullen dancing in the sun 2018
chimney rock 'elevage' red 2019,dalla valle vineyards collina 2019,beaulieu vineyard bv reserve tapestry 2018,chateau st jean 'cinq cepages' 2018,hound’s tree cornus reserve 2015,chateau ste. michelle artists series meritage 2017
weingut hirsch lamm gruner veltliner 2019,weingut hirsch kammern grüner veltliner 2019,anne amie vineyards pinot gris 2019,caraccioli cellars brut cuvee nv,clif family winery gewürtztraminer 2018,weingut familie bauer barig alte reben 2019
fort ross vineyard sea slopes chardonnay 2019,dutton- goldfield chileno valley vineyard riesling 2018,talley vineyards estate chardonnay 2017,balletto chardonnay 2017,planeta chardonnay menfi doc 2018,gundlach bundschu estate vineyard chardonnay 2019
the black chook shiraz — viognier nv,penley estate 'phoenix' cabernet sauvignon 2019,broadbent vinho verde 2019,eberle winery estate reserve cabernet sauvignon 2016,hound’s tree cornus reserve 2015,hickinbotham clarendon vineyard 'trueman' cabernet sauvignon 2017
riboli napa valley cabernet sauvignon 2017,chateau marojallia 2018,captûre pine mountain cabernet sauvignon 2017,robert hall winery cabernet sauvignon 2019,addendum napa valley cabernet sauvignon 2017,freemark abbey napa valley cabernet sauvignon 2017
hirsch vineyards san andreas fault pinot noir 2018,gran moraine pinot noir 2019,fort ross vineyard pinot noir 2018,scribe pinot noir 2018,hirsch vineyards block 8 pinot noir 2019,"enroute pinot noir russian river valley ""les pommiers"" 2019"
domaine carneros estate pinot noir 2019,sanford winery pinot noir 2019,gran moraine pinot noir 2019,crossbarn sonoma county cabernet sauvignon 2018,mary taylor 'pascal biotteau' anjou blanc 2020,archery summit arcus estate pinot noir 2019
breaking bread orange wine 2020,g&c lurton l'orange wine 2021,see saw ‘samm’ orange wine 2021,field recording skins 2020,breaking bread field blend cuvee 2020,teliani valley amber blend 2019
benovia winery cabernet sauvignon - oakville 2018,chateau marojallia 2018,sojourn cellars oakville cabernet sauvignon 2019,captûre pine mountain cabernet sauvignon 2017,freemark abbey napa valley cabernet sauvignon 2017,charles krug napa valley cabernet sauvignon 2018
bollinger la grande annee brut 2012,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,alfred gratien brut nv,charles heidsieck brut réserve nv,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv
jeio (by bisol) prosecco rosé doc 2020,josh cellars prosecco rosé 2020,ca' furlan prosecco doc rosé brut cuvée mariana 2020,piper-heidsieck cuvee brut nv,treleaven blanc ebullient 2019,the vice 'the tri blend' 2019
chalone vineyard estate grown pinot noir 2019,dueling pistols cellars red wine 2017,cullen dancing in the sun 2018,fort ross vineyard pinot noir 2018,maison l'envoye 'straight shooter' pinot noir 2019,gary farrell russian river selection pinot noir 2018
jamieson ranch vineyards 'silver spur' sauvignon blanc 2019,chalk hill estate sauvignon blanc 2019,dom maria brazilian sparkling rosé 2019,intrinsic sauvignon blanc 2020,sean minor 4 bears 4b sauvignon blanc 2019,justin vineyards & winery sauvignon blanc 2020
il colle prosecco di conegliano valdobbiadene superiore brut 2020,col vetoraz valdobbiadene prosecco superiore di cartizze 2020,"canella prosecco superiore valdobbiadene brut ""millesimato"" docg 2020",ca' di prata valdobbiadene prosecco superiore docg extra dry nv,adriano adami dry vigneto giardino rive di colbertaldo nv,adami valdobbiadene prosecco superiore docg vigneto giardino asciutto rive di colbertaldo dry 2020 nv
bread & butter california sauvignon blanc 2020,sean minor sauvignon blanc 2020,robert hall sauvignon blanc 2021,sunday funday sauvignon blanc 2020,line 39 chardonnay 2019,macari katherine's field sauvignon blanc 2020
otto's constant dream sauvignon blanc 2021,nobilo sauvignon blanc 2021 2021,loveblock sauvignon blanc 2020,decibel crownthorpe vineyard sauvignon blanc 2020,tablelands sauvignon blanc 2020,decoy sauvignon blanc 2021
crossbarn sonoma county cabernet sauvignon 2018,chateau marojallia 2018,leeuwin estate prelude vineyards cabernet sauvignon 2018,robert hall winery cabernet sauvignon 2019,mt. brave cabernet sauvignon 2018,gundlach-bundschu estate vineyard cabernet sauvignon 2016
weingut familie bauer barig alte reben 2019,weingut hirsch kammern grüner veltliner 2019,weingut hirsch lamm gruner veltliner 2019,teliani valley amber blend 2019,weingut schlossmuhlenhof 'das ist keine orange' 2019,koncho & co kisi qvevri 2019
crossbarn by paul hobbs sonoma coast pinot noir 2019,merry edwards winery sonoma coast pinot noir 2019,hirsch vineyards block 8 pinot noir 2019,cattleya 'alma de cattleya' pinot noir 2019,kokomo winery gopher hill peters vineyard pinot noir 2019,sanford winery pinot noir 2019
dutton-goldfield rued vineyard chardonnay 2018,ramey chardonnay 2017,neyers vineyards chardonnay 2018,la crema sonoma coast chardonnay 2018,enroute brumaire russian river valley chardonnay 2018,cambria estate winery katherine's vineyard chardonnay 2019
herdade do esporão monte velho rosé 2021,seaglass chardonnay 2020,rodney strong chalk hill chardonnay 2019,anselmo mendes 'tempo' 2015,chateau chatelier bordeaux blanc 2019,riff pinot grigio collio doc 2021
balletto sexton hill vineyard pinot noir 2019,"enroute pinot noir russian river valley ""les pommiers"" 2019",pegasus bay pinot noir 2019,joseph phelps vineyards freestone pinot noir 2019,emeritus vineyards hallberg ranch pinot noir 2018,lovelee pinot noir 2019
chateau la tour figeac grand cru classe 2015,chateau marojallia 2018,la parde de haut-bailly 2010,chateau greysac 2015,chateau aney haut-medoc cru bourgeois 2014,l'ecole no. 41 merlot 2017
piper-heidsieck cuvee brut nv,pol roger pure extra brut nv,lanson black label brut nv,krug grande cuvée 168ème édition (168th edition) nv,pol roger brut reserve 'white foil' nv,billecart salmon brut sous bois nv
delille cellars d2 2019,chateau massereau tradition 2018,macari vineyards dos aguas red 2019,chateau ste. michelle artists series meritage 2017,knights bridge 'kb estate' red blend 2019,beaulieu vineyard bv reserve tapestry 2018
c.l. butaud desert willow vineyard mourvedre 2019,joseph phelps vineyards freestone pinot noir 2019,espectacle del montsant 2017,hound’s tree cornus reserve 2015,alexander valley vineyards wetzel family homestead red 2019,delille cellars d2 2019
soléna willamette valley pinot gris 2021,bouchaine estate pinot gris 2019,pollak vineyards pinot grigio 2021,tangent pinot gris 2021,riff pinot grigio collio doc 2021,"bieler family, pinot grigio ""daisy"" 2021"
tablelands sauvignon blanc 2020,decibel crownthorpe vineyard sauvignon blanc 2020,decibel wines 'giunta' malbec nouveau 2020,hanna sauvignon blanc 2019,lavis classic sauvignon trentino doc 2021,anselmo mendes 'tempo' 2015
telmont reserve brut nv,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv,moet & chandon brut rose grand vintage 2013,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,alfred gratien brut nv
lioco 'indica' red table wine 2019,dogwood & thistle oppenlander vineyard pinot noir 2018,david hill estate 'first pick' riesling 2019,dogwood & thistle testa vineyard carignan 2018,gundlach-bundschu estate vineyard gewurztraminer 2019,soléna willamette valley pinot gris 2021
col vetoraz valdobbiadene prosecco superiore di cartizze 2020,il colle prosecco di conegliano valdobbiadene superiore brut 2020,"canella prosecco superiore valdobbiadene brut ""millesimato"" docg 2020",ca' di prata valdobbiadene prosecco superiore docg extra dry nv,adriano adami dry vigneto giardino rive di colbertaldo nv,bottega liquid metals venetian gold prosecco doc nv
gaston chiquet premier cru 2009,valentin leflaive cv 17 50 nv,piper-heidsieck cuvee brut nv,telmont reserve brut nv,pierre peters blanc de blancs cuvée reserve nv,louis roederer brut premier nv
roederer estate l'ermitage brut rosé 2013,champagne gosset grand rosé brut nv,caraccioli cellars brut cuvee nv,vollereaux cuvee marguerite brut millesime 2011,perrier-jouet belle epoque - fleur de champagne millesime brut 2012,mumm napa brut rosé nv
seven deadly wines cabernet sauvignon 2018,seven deadly wines 'the seven deadly zins' zinfandel 2018,chateau st jean 'cinq cepages' 2018,force of nature rabble red wine 2019,beaulieu vineyard bv reserve tapestry 2018,ace kicker 'big bet' blend 2017
see saw ‘samm’ orange wine 2021,g&c lurton l'orange wine 2021,bojo do luar doralice 2021,teliani valley amber blend 2019,weingut schlossmuhlenhof 'das ist keine orange' 2019,trombetta family wines gap's crown vineyard chardonnay 2018
piper-heidsieck cuvee brut nv,pol roger pure extra brut nv,lanson black label brut nv,krug grande cuvée 168ème édition (168th edition) nv,pol roger brut reserve 'white foil' nv,billecart salmon brut sous bois nv
argiano solengo toscana igt 2018,camins 2 dreams zotovich vineyard syrah 2018,hickinbotham clarendon vineyard 'trueman' cabernet sauvignon 2017,poliziano 'asinone' vino nobile di montepulciano docg 2017,covenant wines blue c adom red wine 2019,bodegas avancia cuvee de o godello 2019
jefferson vineyards cabernet franc 2017,hound's tree estate chardonnay 2017,chateau la tour figeac grand cru classe 2015,chimney rock 'elevage' red 2019,camins 2 dreams zotovich vineyard syrah 2018,chateau cantemerle haut-medoc 2016
cuvaison estate pinot noir 2019,ram's gate sauvignon blanc 2021,gran moraine pinot noir 2019,"enroute pinot noir russian river valley ""les pommiers"" 2019",schug pinot noir 2019,garesio barbera d'asti superiore nizza docg 2017
bruno paillard première cuvée nv,pierre peters blanc de blancs cuvée reserve nv,krug grande cuvée 168ème édition (168th edition) nv,piper-heidsieck cuvee brut nv,charles heidsieck brut réserve nv,pol roger pure extra brut nv
saget la petite perriere sauvignon blanc 2019,cono sur bicicleta reserva sauvignon blanc 2020,weingut r & a pfaffl zeisen grüner veltliner 2018,intrinsic sauvignon blanc 2020,chateau chatelier bordeaux blanc 2019,louis jadot macon-villages 2019
tangent paragon vineyard sauvignon blanc 2019,banshee sonoma county sauvignon blanc 2020,intrinsic sauvignon blanc 2020,routestock cellars 'route 29' sauvignon blanc 2020,robert hall sauvignon blanc 2021,long meadow ranch chardonnay 2017
balletto pinot noir 2018,gary farrell russian river selection pinot noir 2018,dogwood & thistle oppenlander vineyard pinot noir 2018,vietti tre vigne barbera d'asti docg 2018,hanna sauvignon blanc 2019,balletto chardonnay 2017
bouchaine estate pinot gris 2019,soléna willamette valley pinot gris 2021,tangent pinot gris 2021,pollak vineyards pinot grigio 2021,wachira black label cabernet sauvignon 2017,etude grace benoist ranch carneros estate grown chardonnay 2019
gary farrell russian river selection pinot noir 2018,balletto pinot noir 2018,dogwood & thistle oppenlander vineyard pinot noir 2018,ram's gate winery sauvignon blanc 2020,la crema sonoma coast chardonnay 2018,schug pinot noir 2019
charles krug winery carneros chardonnay 2019,louis pommery carneros chardonnay 2019,flowers vineyards & winery sonoma coast chardonnay 2019,good harbor pinot grigio 2021,gundlach bundschu estate vineyard chardonnay 2019,decoy chardonnay 2019
perrier-jouet belle epoque - fleur de champagne millesime brut 2012,vollereaux cuvee marguerite brut millesime 2011,louis roederer et philippe starck brut nature millesime 2012,delamotte blanc de blancs vintage brut 2012,laurent-perrier cuvee rose brut nv,charles heidsieck brut réserve nv
standing stone vineyards timeline dry riesling 2019,willm kirchberg de barr riesling 2016,treleaven blanc ebullient 2019,david hill estate 'first pick' riesling 2019,ridgecrest vineyards 'rr' riesling 2018,treleaven semi-dry cayuga lake riesling 2019
zuccardi valle de uco fosil chardonnay 2020,cakebread cellars chardonnay 2019,domaine matrot meursault les chevalieres 2018,mail road mt. carmel vineyard chardonnay 2015,shannon ridge high elevation chardonnay 2020,gundlach bundschu estate vineyard chardonnay 2019
teutonic wine company pinot gris 2018,anne amie vineyards pinot gris 2019,david hill estate 'first pick' riesling 2019,hound's tree estate chardonnay 2017,chapel down classic brut nv,thacher glenrose vineyard cinsaut 2018
aniello 006 riverside estate pinot noir 2019,hirsch vineyards block 8 pinot noir 2019,raptor ridge temperance hill vineyard pinot noir 2018,hirsch vineyards san andreas fault pinot noir 2018,"enroute pinot noir russian river valley ""les pommiers"" 2019",scribe pinot noir 2018
chateau meyney 2014,chateau aney haut-medoc cru bourgeois 2014,chateau marojallia 2018,penley estate 'phoenix' cabernet sauvignon 2019,hound’s tree cornus reserve 2015,dogwood & thistle oppenlander vineyard pinot noir 2018
seghesio family vineyards chardonnay 2020,la crema sonoma coast chardonnay 2018,black stallion estate winery heritage napa valley chardonnay 2020,cambria estate winery katherine's vineyard chardonnay 2019,hartford court russian river valley chardonnay 2020,gundlach bundschu estate vineyard chardonnay 2019
evening land vineyards seven springs vineyard chardonnay 2019,long meadow ranch pinot gris 2018,vivanterre 'msm' 2020,macari vineyards dos aguas red 2019,southold farm + cellar 'all things go' 2018,smoky rose cellars stainless steel chardonnay 2020
masseria li veli torrerose negroamaro rosato salento igt 2021,seghesio family vineyards rosato 2021,tenuta tascante tefra rosato etna doc 2021,josh cellars prosecco nv,la kiuva rosé de vallée nv,château minuty 281 2021
gramercy cellars olsen vineyard rosé 2021,chateau ste. michelle columbia valley rosé 2021,sonoma-cutrer chardonnay 2018,chakana estate selection red blend 2017,stoller family estate willamette valley pinot noir rosé 2021,château minuty 281 2021
moet & chandon brut rose grand vintage 2013,louis roederer collection 242 brut nv,telmont reserve brut nv,laurent-perrier cuvee rose brut nv,pol roger brut reserve 'white foil' nv,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008
maison l'envoye 'straight shooter' pinot noir 2019,raptor ridge temperance hill vineyard pinot noir 2018,hamacher pinot noir 2017,ankida ridge vineyards pinot noir 2017,scribe pinot noir 2018,hirsch vineyards san andreas fault pinot noir 2018
seaglass chardonnay 2020,mail road mt. carmel vineyard chardonnay 2015,rodney strong chalk hill chardonnay 2019,gundlach bundschu estate vineyard chardonnay 2019,herdade do esporão monte velho rosé 2021,fort ross vineyard sea slopes chardonnay 2019
bottega liquid metals venetian gold prosecco doc nv,adami valdobbiadene prosecco superiore docg vigneto giardino asciutto rive di colbertaldo dry 2020 nv,ca' di prata valdobbiadene prosecco superiore docg extra dry nv,josh cellars prosecco nv,"canella prosecco superiore valdobbiadene brut ""millesimato"" docg 2020",col vetoraz valdobbiadene prosecco superiore di cartizze 2020
gosset 'grand rose' brut nv,laurent-perrier cuvee rose brut nv,louis roederer collection 242 brut nv,pol roger brut reserve 'white foil' nv,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,moet & chandon brut rose grand vintage 2013
macari katherine's field sauvignon blanc 2020,dogwood and thistle sauvignon blanc 2020,merry edwards russian river valley sauvignon blanc 2020,hound's tree estate chardonnay 2017,bread & butter california sauvignon blanc 2020,"famille dubard sauvignon blanc ""coeur du mont"" 2021"
massolino dolcetto d'alba 2019,cantine colosi nero d'avola terre siciliane igt 2019,masciarelli montepulciano d'abruzzo 2019,tenuta tascante 'ghiaia nera' etna rosso 2017,robert hall winery cabernet sauvignon 2019,mezzacorona 'dinotte' red blend 2019
ca' furlan prosecco doc rosé brut cuvée mariana 2020,josh cellars prosecco rosé 2020,jeio (by bisol) prosecco rosé doc 2020,col vetoraz valdobbiadene prosecco superiore di cartizze 2020,gruet blanc de noirs nv,vollereaux cuvee marguerite brut millesime 2011
willm kirchberg de barr riesling 2016,standing stone vineyards timeline dry riesling 2019,david hill estate 'first pick' riesling 2019,treleaven semi-dry cayuga lake riesling 2019,treleaven blanc ebullient 2019,ridgecrest vineyards 'rr' riesling 2018
ferrari rosé nv,gruet blanc de noirs nv,piper sonoma blanc de blancs nv,domaine carneros brut rose cuvee de la pompadour nv,mumm napa brut rosé nv,mary taylor 'pascal biotteau' anjou blanc 2020
hyde de villaine hyde vineyard chardonnay 2017,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,etude grace benoist ranch carneros estate grown chardonnay 2019,neyers vineyards chardonnay 2018,gundlach bundschu estate vineyard chardonnay 2019,domaine lavantureux bougros chablis grand cru 2016
penley estate 'phoenix' cabernet sauvignon 2019,hickinbotham clarendon vineyard 'trueman' cabernet sauvignon 2017,chateau marojallia 2018,arrowood winery knights valley cabernet sauvignon 2018,the black chook shiraz — viognier nv,gundlach-bundschu estate vineyard cabernet sauvignon 2016
douloufakis 'dafnios' vidiano 2019,massaya classic blanc 2018,weingut r & a pfaffl zeisen grüner veltliner 2018,talley vineyards estate chardonnay 2017,alpha estate single vineyard 'turtles' malagouzia 2019,willm kirchberg de barr riesling 2016
louis jadot macon-villages 2019,cantine colosi nero d'avola terre siciliane igt 2019,decoy chardonnay 2019,hound's tree estate chardonnay 2017,saget la petite perriere sauvignon blanc 2019,bonterra chardonnay 2020
laurent-perrier harmony demi-sec nv,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv,charles heidsieck blanc de blancs nv,telmont reserve brut nv,alfred gratien brut nv
etude grace benoist ranch carneros estate grown chardonnay 2019,hyde de villaine hyde vineyard chardonnay 2017,hound's tree estate chardonnay 2017,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,bouchaine estate pinot gris 2019,gundlach bundschu estate vineyard chardonnay 2019
